username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
_makavelijones;2018-08-09 23:32;4;19;"Boulos defendeu o direito ao aborto. Afirmou que a decisão é das mulheres. Muito bom meu presidente #BoulosNaBand";;;#BoulosNaBand;"1027744376351588352";https://twitter.com/_makavelijones/status/1027744376351588352
Neydinhaaaa;2018-08-09 23:30;41;92;"“é muito cômodo criminalizar as mulheres que abortam e permitir que os homens não assumam seus filhos” boulos massacrando a hipocrisia dos conservadores em rede nacional #DebateBand pic.twitter.com/m11ydDUmLG";;;#DebateBand;"1027744081978580994";https://twitter.com/Neydinhaaaa/status/1027744081978580994
AlbuquerqueDavy;2018-08-09 23:30;26;56;"Guilherme Boulos , quais são as suas propostas para a economia brasileira? - Invadir a Casa da Moeda e acabar com a desigualdade no Brasil. #DebateBand #BolsonaroNaBand #EstouComBolsonaro";;;#DebateBand #BolsonaroNaBand #EstouComBolsonaro;"1027743897450164224";https://twitter.com/AlbuquerqueDavy/status/1027743897450164224
samuraiblue91;2018-08-09 23:25;134;255;"Avisem pro Boulos que a maioria das mulheres q são CONTRA o aborto são negras e pobres #DebateBand #BolsonaroNaBand pic.twitter.com/n2ISKxanA1";;;#DebateBand #BolsonaroNaBand;"1027742766862946305";https://twitter.com/samuraiblue91/status/1027742766862946305
Geysi_lora;2018-08-09 23:25;65;369;""Temos que combater o machismo", disse Boulos . Então por que você é o candidato à Presidência, e e não tua vice? Machismo? Esse Boulos não consegue falar uma coisa que seja verdade e que não o contradiga no ato seguinte. #DebateBand";;;#DebateBand;"1027742740405280770";https://twitter.com/Geysi_lora/status/1027742740405280770
LiloVLOG;2018-08-09 23:25;8;77;""Candidato boubos... ops boulos ."";;;;"1027742620980797440";https://twitter.com/LiloVLOG/status/1027742620980797440
Margot_C1956;2018-08-09 23:24;36;86;"Aborto tema do SUS? Pena que vc não foi abortado, Boulos . Não vamos pagar a conta desse assassinato. #BolsonaroNaBand";;;#BolsonaroNaBand;"1027742407046168578";https://twitter.com/Margot_C1956/status/1027742407046168578
Itspedrito;2018-08-09 23:24;185;454;"Boulos lindissimo que fala tudo #DebateBand";;;#DebateBand;"1027742328558108672";https://twitter.com/Itspedrito/status/1027742328558108672
_fIavio;2018-08-09 23:23;114;351;"O Boulos falou que defende que mulheres pobres e negras abortem Hitler sorriu no inferno agora";;;;"1027742268671885312";https://twitter.com/_fIavio/status/1027742268671885312
fernandatanaka_;2018-08-09 23:23;92;160;"Boulos falando de aborto...e ainda quer que a gente pague o assassinato de bebês. #BolsonaroNaBand";;;#BolsonaroNaBand;"1027742227022393350";https://twitter.com/fernandatanaka_/status/1027742227022393350
JanDaMassa;2018-08-09 23:22;67;285;"Antes da Marina responder o Boulos já invadiu 10 casas. #DebateBand";;;#DebateBand;"1027741985329868802";https://twitter.com/JanDaMassa/status/1027741985329868802
PauloMartins10;2018-08-09 23:17;290;914;"Boulos diz que vai acabar com o Bolsa Banqueiro e o Bolsa Empresário. Faltou falar que vai dobrar a pena do Lula por ter criado as duas coisas.";;;;"1027740761624928257";https://twitter.com/PauloMartins10/status/1027740761624928257
juninhabrito;2018-08-09 23:16;0;0;"#DebateBand Boulos kkkkkkkkkkkkkkkkkkkkkkkkkkkkkklkkkkkllkkkkkkkkkkkkkkk";;;#DebateBand;"1027740496486191104";https://twitter.com/juninhabrito/status/1027740496486191104
abreu_iury;2018-08-09 23:12;212;464;"So depois que conheci o Boulos que eu entendi porque nossas mães sempre pedem para dar duas voltas na chave. #BolsonaroNaBand pic.twitter.com/lqN3hEhB6U";;;#BolsonaroNaBand;"1027739389206716416";https://twitter.com/abreu_iury/status/1027739389206716416
samu_elson;2018-08-09 23:06;0;0;"Parece que deram um boulo no boulos heueheuheuhe";;;;"1027737976246292480";https://twitter.com/samu_elson/status/1027737976246292480
gerdulino;2018-08-09 23:05;52;215;"Boulos é tão preparado para o cargo de rainha do lacre, estudou bem com a quebrando o tabu no face. #DebateBand";;;#DebateBand;"1027737770922528769";https://twitter.com/gerdulino/status/1027737770922528769
oiluiz;2018-08-09 22:55;1294;3665;"Bom, pelo menos enquanto o Boulos tá ocupado no debate, vc sabe que sua casa tá segura";;;;"1027735255963394048";https://twitter.com/oiluiz/status/1027735255963394048
RaqueIRangel0;2018-08-09 22:54;273;800;"pasta de arquivos porno porno pesado porno pesado demais bolsonaro humilhando boulos pic.twitter.com/FcZi5q8H6x";;;;"1027734779578511363";https://twitter.com/RaqueIRangel0/status/1027734779578511363
Adriano3Luis;2018-08-09 22:52;223;586;"Depois do primeiro bloco podemos concluir : Boulos : destemperado, agressivo. Álvaro Dias: chato, sem sal Alckmin: muito chato Marina: não fede e nem cheira Ciro : apagado Bolsonaro : tranquilo, equilibrado. #EstouComBolsonaro";;;#EstouComBolsonaro;"1027734366267555840";https://twitter.com/Adriano3Luis/status/1027734366267555840
CharlesBergy;2018-08-09 22:50;49;89;"Boulos atacando e @jairbolsonaro deixando ele de lado. Mito é mito. O resto é conversa fiada. #EstouComBolsonaro #Bolsonaro2018";;@jairbolsonaro;#EstouComBolsonaro #Bolsonaro2018;"1027733889664602112";https://twitter.com/CharlesBergy/status/1027733889664602112
_makavelijones;2018-08-09 23:31;3;14;"Boulos tá meio fraco. Tem que melhorar nesse debate.";;;;"1027744281614794754";https://twitter.com/_makavelijones/status/1027744281614794754
SinceroCretino;2018-08-09 23:31;2;13;"Separados na maternidade! Maurício Meirelles // Guilherme Boulos #DebateBand pic.twitter.com/fVyELV8E7m";;;#DebateBand;"1027744111003148288";https://twitter.com/SinceroCretino/status/1027744111003148288
TonyStarkMeta;2018-08-09 23:30;9;26;"Boulos não é a favor do aborto, é a favor de transformar o SUS num açougue de fetos...";;;;"1027744050231865344";https://twitter.com/TonyStarkMeta/status/1027744050231865344
RobertaDassiArq;2018-08-09 23:27;18;28;"Se o tal do Boulos não sabe, na Argentina o país saiu as ruas contra o aborto, no Brasil mais de 70% da população é contra o aborto. #contraoaborto #BolsonaroNaBand";;;#contraoaborto #BolsonaroNaBand;"1027743328710938626";https://twitter.com/RobertaDassiArq/status/1027743328710938626
